X	Y	RouteID	ARM	Direction_	Location	Year_2012	Year_2013	Year_2014	Year_2015	Year_2015_	GlobalID	LastUpdate
-122.258016683160903	47.287770022084594	167	14.580000000000000	Bothways	At Milepost 13.30 A:PTR LOCATION R113		96000*	96000*	99000	99000	{90A4DD10-A500-4DB3-8B99-37A7960E1E8E}	2015/12/31
-121.565627610461092	46.735344796991797	123	3.900000000000000	Bothways	At Milepost 3.88 A:PTR LOCATION R040 NORTH	890*	870*	880*	940*	940	{D344CE54-9073-4000-918E-54FB54E5C153}	2015/12/31
-122.448710654474525	47.158317669624722	512	1.530000000000000	Bothways	At Milepost 1.53 A:PTR LOCATION D3	87000*	88000*	88000*	90000*	90000	{9FDAF8CE-C154-4B7B-BA59-B569D7838BC8}	2015/12/31
-122.282352452005995	47.194477087494171	512	11.430000000000000	Bothways	At Milepost 11.43 A:PTR LOCATION R106			86000*	90000*	90000	{E6758B12-8615-4059-9C67-964205F2FDF8}	2015/12/31
-121.614695161458428	46.648384676478898	012	134.840000000000003	Bothways	At Milepost 135.10 A:PTR LOCATION R040 WEST	1800*	1700*	1800*	1900*	1900	{B4FAD342-00DD-47C2-A56F-020A7F450787}	2015/12/31
-122.706173495313138	47.648536878373768	003	44.280000000000001	Bothways	At Milepost 44.33 A:PTR LOCATION R050	44000*	43000*	44000*	48000*	48000	{01106299-3BD6-4BE5-AE0B-7FF686E99F16}	2015/12/31
-122.327244977260193	47.481189046648424	509	31.170000000000002	Bothways	At Milepost 26.37 A:PTR LOCATION D14	54000*	55000*	58000*	62000*	62000	{4D1E4BD5-5786-453F-BF55-30439302EF1F}	2015/12/31
-121.737494764806783	47.472026676866619	090	31.949999999999999	Bothways	At Milepost 33.56 A:PTR LOCATION R039	33000*	34000*	34000*	36000*	36000	{58BC6951-B4D6-4CA3-AD53-97ED55588A1B}	2015/12/31
-117.354444706505134	47.845423133141828	002	293.300000000000011	Bothways	At Milepost 301.40 A:PTR LOCATION P28	17000	16000*	16000*	17000*	17000	{F7321D26-4BF2-46E3-8E2E-DDB48C39E87A}	2015/12/31
-121.884481666926092	47.504736329384166	018	28.120000000000001	Bothways	At Milepost 27.62 A:PTR LOCATION S838	22000*	23000*	24000*	25000*	25000	{ED8D1577-D23F-4ECB-A8B7-E309B0FE043E}	2015/12/31
-120.201465136734356	47.722203346770968	097	205.610000000000014	Bothways	At Milepost 220.55 A:PTR LOCATION R084	4300*	4500*	4600*	4900*	4900	{C98220F1-813C-4015-9EE9-8687B5182F19}	2015/12/31
-122.337626434886502	48.425110206699834	005	227.020000000000010	Bothways	At Milepost 226.96 A:PTR LOCATION R093	67000*	68000	68000*	71000*	71000	{206E7410-C128-463F-B393-EAE7CE1D2974}	2015/12/31
-118.205194625448684	48.862762123715008	395	264.740000000000009	Bothways	At Milepost 260.00 A:PTR LOCATION P26	630	640*	650*	600*	600	{CAC54E0C-64BC-414E-919F-8684C6BBD63A}	2015/12/31
-122.438135228025686	45.579565460046176	014	11.910000000000000	Bothways	At Milepost 11.90 A:PTR LOCATION P06	37000*	38000*	40000*	42000*	42000	{4619A174-D6B1-40BA-8053-DCB6E8A1E14E}	2015/12/31
-120.788867690511267	46.745276005782983	012	184.909999999999997	Bothways	At Milepost 185.25 A:PTR LOCATION S818 SOUTH	2100	2000	2100	2200*	2200	{0FDACBC6-201D-4744-A164-71B71744BA8B}	2015/12/31
-117.096632584917444	46.548645270381037	195	6.320000000000000	Bothways	At Milepost 6.01 A:PTR LOCATION P13	4500*	4500*	4500*	4700*	4700	{D8717856-F940-4CA5-A6C5-AF6F3F325D81}	2015/12/31
