Shape,DOWNTOWN,STNAME,NAME,YEAR_,AAWDT,HPMS,FLOW_COUNT,OBJECTID,GEOBASID,COMPKEY,SEGKEY,INPUT_STUDY_ID,Shape_Length
"(47.56577617200003, -122.33943897999995)",N,ALASKAN WY VI NB & SB,"ALASKAN WY VI NB & SB, N/O EAST MARGINAL WAY S",2011,50200, ,Y,257,50650220,8766,8766,304614,8971.30550913166735
"(47.53895778300006, -122.29608148499995)",N,BEACON AVE S,"BEACON AVE S, S/O S SPOKANE ST",2011,12800, ,Y,258,53960170,573395,573395,308051,24970.892536063875013
"(47.61639303000004, -122.32915637199994)",R,YALE ST ON RAMP,"HOWELL ST ON RP, N/O I5 SB",2011,17800, ,Y,259,78200010,489781,489781,303551,448.622393919978379
"(47.622727087000044, -122.32865945399999)",R,STEWART ST RAMP,"STEWART ST OFF & REV RP, N/O STEWART ST; TOTAL FLOW",2011,12000, ,Y,260,77850010,489760,489760,303550,1117.751178379725843
"(47.59239917300005, -122.33549223199998)",N,ALAKSAN WAY VI NB ON RP,"1ST AV S ON RP, SE/O ALASKAN WY VI NB",2011,9600, ,Y,261,,1274,1274,303124,183.011077000356153
"(47.60526634200005, -122.32780083999995)",R,CHERRY ST ON RAMP NB,"CHERRY ST ON RP, NW/O CHERRY ST",2011,13100, ,Y,262,75600010,490102,490102,303547,1466.019383842039588
"(47.61637858700004, -122.32850941899994)",R,MELROSE AVE ON RAMP,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2011,18300, ,Y,263,77300010,489779,489779,303549,1405.43491483806838
"(47.571788585000036, -122.37065501499995)",N,ALKI AVE SW,"ALKI AVE SW, W/O HARBOR AVE SW",2011,9000, ,Y,264,50950010,8782,8782,307430,19121.987291434525105
"(47.601969170000075, -122.32558870799994)",R,JAMES ST ON RAMP SB,"6TH AV ON RP, SE/O 6TH AVE",2011,4700, ,Y,265,76650010,490110,490110,302223,644.787516549869451
"(47.604891251000026, -122.32926248999996)",R,CHERRY ST REV RAMP,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2011,3100, ,Y,266,75650010,490099,490099,302219,225.508948337041517
"(47.60640009800005, -122.32980491999996)",R,COLUMBIA ST OFF RAMP,"JAMES ST OFF RP, NW/O COLUMBIA ST",2011,20200, ,Y,267,76600020,490084,490084,302218,314.984193826795945
"(47.619433736000076, -122.32848587399997)",R,PIKE RAMP,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2011,2400, ,Y,268,75680010,489839,489839,302266,2503.774792897047973
"(47.60773005000004, -122.33134254599997)",R,SPRING ST ON RAMP,"SPRING ST ON RP, SE/O SPRING ST",2011,16400, ,Y,269,77800010,490080,490080,302217,424.587763964578585
"(47.59409383000008, -122.33466757899998)",N,ALASKAN WY VI NB & SB,"ALASKAN WY VI (NB & SB), N/O ALASKAN WY VI NB ON RP",2011,82600, ,Y,270,50650130,8765,8765,304612,8413.916944385317038
"(47.60390393400007, -122.32669589799997)",R,MADISON ST OFF RAMP,"MADISON ST OFF RP, SE/O 7TH AVE",2011,26200, ,Y,271,76850010,490101,490101,303546,1244.032458879068145
"(47.60352527100008, -122.32631488099997)",R,JAMES ST OFF RAMP,"JAMES ST OFF RP, SE/O JAMES ST",2011,9300, ,Y,272,76600010,490103,490103,303545,434.648336181027048
"(47.61369492600005, -122.32985272899998)",R,UNIVERSITY ST ON RAMP,"UNIVERSITY ST ON RP, N/O I5 NB",2011,8800, ,Y,273,78150010,489863,489863,302216,1876.972400691234043
"(47.59476091400006, -122.33457725599999)",N,ALASKAN WAY VI SB OFF RP,"1ST AV S OFF RP, S/O ALASKAN WY VI SB",2011,11100, ,Y,274,,1271,1271,303125,1938.703862571650234
"(47.571577664000074, -122.32898895899996)",N,S COLUMBIAN WAY,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2011,27300, ,Y,275,156300030,19710,19710,307741,5076.748106420003751
"(47.61402707700006, -122.34775449899996)",N,ALASKAN WY VI NB & SB,"ALASKAN WY VI (NB & SB), N/O S ROYAL BROUGHAM WAY ON RP",2011,103400, ,Y,276,50650090,8762,8762,304608,8280.110312622919082
"(47.52733643800008, -122.31478481799996)",N,16TH AVE S,,,,,,277,6900445,2315,,,2570.37853242303845
